ID_Pregunta,Num_Revisiones_Agente,RAG_cobertura,Agente_cobertura,Agente_error_tecnico,Longitud_RAG,Longitud_Agente,Consistencia_Silogistica_Agente,Consistencia_Silogistica_RAG_Base,Fidelidad_Juridica_Agente,Fidelidad_Juridica_RAG_Base,Complejidad_Agente,Complejidad_RAG_Base
1,2,cobertura_total,cobertura_total,False,1041,3940.0,5.0,2.0,4.0,4.0,5.0,2.0
2,1,sin_cobertura,cobertura_total,False,101,2271.0,4.0,,4.0,,4.0,
3,1,cobertura_total,cobertura_total,False,1651,2274.0,5.0,3.0,4.0,4.0,4.0,3.0
4,1,sin_cobertura,cobertura_total,False,101,460.0,3.0,,4.0,,1.0,
5,1,cobertura_total,cobertura_total,False,1458,1793.0,5.0,3.0,4.0,4.0,3.0,3.0
6,1,cobertura_total,cobertura_total,False,2498,2404.0,4.0,2.0,4.0,4.0,4.0,3.0
7,1,cobertura_total,cobertura_total,False,362,1139.0,4.0,3.0,4.0,4.0,3.0,2.0
8,1,cobertura_total,cobertura_total,False,274,1832.0,4.0,2.0,3.0,3.0,3.0,2.0
9,1,cobertura_parcial,cobertura_total,False,1049,1727.0,4.0,2.0,4.0,4.0,3.0,2.0
10,1,sin_cobertura,cobertura_total,False,101,1919.0,4.0,,4.0,,3.0,
11,2,sin_cobertura,cobertura_total,False,101,1913.0,4.0,,4.0,,3.0,
12,1,cobertura_total,cobertura_total,False,1424,2290.0,4.0,3.0,4.0,4.0,3.0,3.0
13,1,sin_cobertura,cobertura_total,False,101,1797.0,3.0,,3.0,,3.0,
14,1,cobertura_total,cobertura_total,False,415,1209.0,4.0,3.0,4.0,4.0,3.0,2.0
15,1,cobertura_total,cobertura_total,False,748,2188.0,4.0,3.0,4.0,4.0,4.0,3.0
16,1,sin_cobertura,cobertura_total,False,101,1732.0,4.0,,4.0,,3.0,
17,2,cobertura_total,cobertura_total,False,1716,3462.0,4.0,3.0,4.0,4.0,3.0,3.0
18,2,sin_cobertura,cobertura_total,False,101,2495.0,4.0,,3.0,,3.0,
19,1,cobertura_total,cobertura_total,False,2146,2525.0,4.0,2.0,3.0,3.0,4.0,3.0
20,1,cobertura_total,cobertura_total,False,2356,2759.0,4.0,3.0,4.0,4.0,4.0,3.0
21,2,cobertura_total,cobertura_total,False,2081,3687.0,5.0,3.0,4.0,4.0,5.0,3.0
22,1,sin_cobertura,cobertura_total,False,101,2730.0,5.0,,4.0,,4.0,
23,1,sin_cobertura,cobertura_total,False,101,2157.0,4.0,,4.0,,3.0,
24,1,cobertura_total,cobertura_total,False,288,1255.0,5.0,4.0,5.0,5.0,2.0,2.0
25,0,cobertura_total,error_tecnico,True,1546,,,2.0,,4.0,,3.0
26,1,cobertura_total,cobertura_total,False,2118,3424.0,5.0,3.0,4.0,4.0,4.0,4.0
27,1,cobertura_total,cobertura_total,False,1740,1947.0,4.0,3.0,4.0,4.0,3.0,3.0
28,1,cobertura_total,cobertura_total,False,2223,1600.0,4.0,4.0,5.0,5.0,3.0,3.0
29,1,cobertura_total,cobertura_total,False,880,1004.0,4.0,3.0,4.0,4.0,2.0,2.0
30,1,cobertura_total,cobertura_total,False,2022,2697.0,4.0,2.0,4.0,3.0,4.0,3.0
31,1,cobertura_total,cobertura_total,False,507,1888.0,4.0,2.0,4.0,4.0,3.0,2.0
32,1,cobertura_total,cobertura_total,False,547,2560.0,4.0,3.0,4.0,4.0,4.0,3.0
33,1,cobertura_total,cobertura_total,False,968,2122.0,4.0,3.0,4.0,4.0,3.0,3.0
