ID_Pregunta,Pregunta,Respuesta_RAG_Base,Respuesta_Agente_CoT_CoV,Num_Revisiones_Agente,Error
1,"En un contrato de compraventa civil celebrado por escrito, una cláusula establece entrega inmediata del bien y otra dispone que la entrega solo procederá cuando el comprador obtenga aprobación bancaria, ¿cómo debe resolverse la contradicción interpretativa y qué criterios hermenéuticos deberían aplicarse para reconstruir la intención común de las partes?","Para reconstruir la intención común de las partes y resolver la contradicción interpretativa, se deben aplicar los elementos de hermenéutica contractual del Código Civil. En materia interpretativa negocial, el Código Civil en sus artículos 1618 a 1624 contiene un cuerpo normativo instituido para la labor de fijar la auténtica significación de los términos contractuales. Esta labor está orientada a ""desentrañar el real significado de las declaraciones formuladas y armonizarlas en cuanto ello sea posible"". Adicionalmente, se pueden aplicar los criterios de interpretación literal, histórico y sistemático del artículo 1546 del Código Civil, de que tratan los artículos 27 y 30 del Código Civil.

Citas:
*   [SENTENCIA | Sentencias | sc2879_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_27_09_2022_po_781082_número_de_pr | página 74]
*   [SENTENCIA | Sentencias | sc5430_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_07_12_2021_po_752896_número_de_pr | página 127]","SILOGISMO JURÍDICO:

1.  **PREMISA MAYOR:**
    La interpretación de las estipulaciones contractuales, con el fin de ""desentrañar el real significado de las declaraciones formuladas y armonizarlas en cuanto ello sea posible"", se rige por las reglas hermenéuticas del Código Civil, contenidas en sus artículos 1618 a 1624 (SC2879-2022, p. 74). Para la reconstrucción de la intención común de las partes, se deben aplicar los criterios de interpretación literal, histórico y sistemático, de que tratan los artículos 27 y 30 del Código Civil (SC5430-2021, p. 127). Adicionalmente, los contratos se celebran para cumplirse, conforme al artículo 1602 del Código Civil (sin_clase_de_actuación_publicación_especializada_fecha_776082_número_de_pr, p. 10).

2.  **PREMISA MENOR:**
    En el caso planteado, existe una contradicción entre dos cláusulas de un contrato de compraventa civil: una establece la ""entrega inmediata del bien"" y otra dispone que ""la entrega solo procederá cuando el comprador obtenga aprobación bancaria"". Para resolver esta contradicción y reconstruir la intención común de las partes, se deben aplicar los criterios hermenéuticos establecidos:
    *   **Criterio Literal:** Las cláusulas, tomadas individualmente, son opuestas. Una exige inmediatez en la entrega, mientras que la otra la supedita a un evento futuro y condicional (la aprobación bancaria).
    *   **Criterio Sistemático:** Al interpretar las cláusulas en conjunto y en el contexto integral del contrato de compraventa, es necesario armonizarlas para dar sentido al negocio jurídico. La cláusula que supedita la entrega a la aprobación bancaria introduce una condición suspensiva para la obligación de entrega. En contratos bilaterales, las obligaciones están interconectadas, y el cumplimiento de una puede depender de una condición o del cumplimiento de la otra parte, como se observa en el contexto donde una fecha de entrega está ""supeditada al cumplimiento por parte del promitente dos"" (SC5430-2021, p. 87). Una condición de aprobación bancaria es un elemento crucial para asegurar la capacidad de pago del comprador y, por ende, la viabilidad financiera del contrato. Dar prevalencia a esta condición específica sobre una declaración general de ""entrega inmediata"" permite que el contrato sea ejecutable de manera segura para ambas partes, especialmente para el vendedor que espera el pago, y se alinea con el principio de que los contratos se celebran para cumplirse.
    *   **Criterio Histórico:** Aunque el contexto recuperado no proporciona detalles históricos específicos sobre la negociación de este contrato en particular, este criterio implicaría analizar las negociaciones previas, la finalidad perseguida por las partes al incluir ambas cláusulas y si alguna de ellas fue introducida como una condición esencial para la viabilidad del negocio. En ausencia de información histórica específica, la interpretación sistemática cobra mayor relevancia para reconstruir la intención común, sugiriendo que la inclusión de la condición de aprobación bancaria refleja una intención de asegurar el pago antes de la entrega definitiva.

3.  **CONCLUSIÓN:**
    La contradicción interpretativa debe resolverse dando prevalencia a la cláusula que supedita la entrega del bien a la obtención de la aprobación bancaria por parte del comprador. Esta resolución se fundamenta principalmente en el criterio de interpretación sistemático, que busca armonizar las estipulaciones contractuales y darles un sentido coherente que permita el cumplimiento efectivo del contrato. La intención común de las partes, reconstruida a través de los criterios literal, histórico y sistemático, apunta a que la entrega del bien, aunque deseada de forma expedita, estaba condicionada a la verificación de la capacidad financiera del comprador mediante la aprobación bancaria, asegurando así la viabilidad de la operación antes de la ejecución de la obligación de entrega.",2,
2,"Si dos partes pactan verbalmente la modificación del plazo de un contrato previamente escrito, pero el contrato original contiene una cláusula que exige que toda modificación conste por escrito, ¿qué valor jurídico tendría la modificación verbal y bajo qué supuestos podría producir efectos?",No encontrado en el corpus. El contexto recuperado no contiene información suficiente para responder.,"SILOGISMO JURÍDICO:

1.  **PREMISA MAYOR:**
    El contexto recuperado establece que ""Todo contrato legalmente celebrado es una ley para los contratantes"" (Art. 1602 C.C.) y, de manera fundamental, reconoce ""la eficacia de su mutuo consentimiento para deshacer un pacto precedente"" (SC963_2022, página 11). Asimismo, se subraya la primacía de la ""voluntad de los sujetos"", indicando que las normas (y por extensión, las estipulaciones contractuales sobre la forma) pueden tener un ""carácter apenas supletorio"" cuando no apareciere voluntad contraria o cuando se presenta una ""divergencia entre la voluntad real y la expresada por los contratantes"" (SC2879_2022, página 76; SC963_2022, página 11).

2.  **PREMISA MENOR:**
    En el caso planteado, las partes pactaron verbalmente la modificación del plazo de un contrato previamente escrito, a pesar de que el contrato original contenía una cláusula que exigía que toda modificación constara por escrito. Esta cláusula de forma escrita es una manifestación de la voluntad inicial de las partes. Sin embargo, el posterior acuerdo verbal para modificar el plazo representa una nueva manifestación de la ""voluntad real"" y el ""mutuo consentimiento"" de los contratantes. Conforme al principio de autonomía de la voluntad y la eficacia del mutuo consentimiento para ""deshacer un pacto precedente"" (lo que incluye modificarlo), la voluntad posterior y concurrente de las partes podría prevalecer sobre la formalidad previamente estipulada por ellas mismas, siempre que no se trate de una solemnidad exigida por la ley para la validez del acto jurídico de modificación.

3.  **CONCLUSIÓN:**
    Basándose en el contexto recuperado, la modificación verbal del plazo tendría valor jurídico si se demuestra la existencia de un ""mutuo consentimiento"" y una ""voluntad real"" inequívoca de las partes para modificar el contrato. Produciría efectos bajo el supuesto de que la nueva manifestación de voluntad de los contratantes, expresada verbalmente, sea considerada una forma válida de ""deshacer un pacto precedente"" o de modificarlo, prevaleciendo sobre la cláusula de forma escrita previamente acordada, siempre y cuando la ley no exija una solemnidad específica para la modificación del tipo de contrato o de la cláusula en cuestión.",1,
3,¿Cómo debe interpretarse una cláusula penal pactada en un contrato civil cuando su redacción permite entenderla tanto como sanción moratoria como indemnización compensatoria?,"Cuando la redacción de una cláusula penal en un contrato civil permite entenderla tanto como sanción moratoria como indemnización compensatoria, se debe interpretar que:

1.  La cláusula penal puede cumplir distintas funciones. La función moratoria es compatible con la cláusula penal, según lo dispuesto en el artículo 1594 del Código Civil.
2.  El acreedor no puede pedir a la vez la indemnización compensatoria y la pena estipulada para satisfacer una indemnización de la misma índole, ya que esto propiciaría un enriquecimiento indebido a su favor y en contra del deudor.
3.  No obstante lo anterior, siempre estará al arbitrio del acreedor pedir la indemnización o la pena, como dispone el artículo 1600 del Código Civil.
4.  En casos donde se haya pactado la cláusula penal en función de indemnización compensatoria y la moratoria sea compatible, el acreedor puede optar por lo que mejor le convenga: si menos indemnización pero liberado de la carga de demostrar perjuicios y su monto, o más indemnización.
5.  De manera general, las cláusulas de un contrato se interpretarán unas por otras, dándole a cada una el sentido que mejor convenga al contrato en su totalidad, conforme al artículo 1622 del Código Civil.

**Citas:**
*   [SENTENCIA | Sentencias | sc5185_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_26_11_2021_po_751932_número_de_pr | página 71]
*   [SENTENCIA | Sentencias | sc5185_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_26_11_2021_po_751932_número_de_pr | página 70]
*   [NORMA | Codigo_Civil | Ley desconocida | Artículo 1622 | codigo_civil_intro_rag]","SILOGISMO JURÍDICO:

1.  **PREMISA MAYOR**:
    La cláusula penal es una obligación accesoria que puede cumplir distintas funciones, incluyendo la de indemnización compensatoria o sanción moratoria. En el Derecho Contractual Civil Colombiano, si la cláusula penal se pacta en función de indemnización compensatoria, el acreedor no puede pedir simultáneamente la indemnización compensatoria y la pena estipulada para el mismo tipo de perjuicio, a fin de evitar un enriquecimiento indebido. En tal caso, el acreedor tiene la facultad de optar entre la pena (liberado de la carga de demostrar perjuicios y su monto) o la indemnización de perjuicios efectiva. Sin embargo, la función moratoria de la cláusula penal es compatible con la indemnización de perjuicios. Para interpretar las cláusulas de un contrato, estas deben entenderse unas por otras, dándoles el sentido que mejor convenga al contrato en su totalidad, conforme al artículo 1622 del Código Civil.

2.  **PREMISA MENOR**:
    Ante una cláusula penal en un contrato civil cuya redacción permite entenderla tanto como sanción moratoria como indemnización compensatoria, su interpretación debe guiarse por el principio de que puede cumplir distintas funciones. Se debe buscar el sentido que mejor convenga al contrato en su totalidad, interpretando la cláusula en relación con las demás estipulaciones. Si, tras esta interpretación sistemática, se determina que la cláusula opera como indemnización compensatoria, el acreedor deberá elegir entre el cobro de la pena o la indemnización de perjuicios real. Si se determina que opera como sanción moratoria, esta es compatible con la indemnización de perjuicios.

3.  **CONCLUSIÓN**:
    Una cláusula penal en un contrato civil que puede interpretarse como sanción moratoria o indemnización compensatoria debe ser interpretada sistemáticamente con el resto del contrato para determinar su función principal. Si se establece que su función es compensatoria, el acreedor debe optar entre el cobro de la pena (sin necesidad de probar perjuicios) o la indemnización de perjuicios efectiva (con la carga de su demostración), no pudiendo reclamar ambas por el mismo concepto. Si se determina que su función es moratoria, esta es compatible con la indemnización de perjuicios.",1,
4,"En un contrato de prestación de servicios civiles, ¿qué consecuencias jurídicas se derivan si la remuneración fue acordada de forma ambigua, usando simultáneamente una suma fija y un porcentaje sobre resultados, sin establecer regla de prevalencia?",No encontrado en el corpus. El contexto recuperado no contiene información suficiente para responder.,"El contexto recuperado no contiene información que aborde directamente las consecuencias jurídicas de una remuneración acordada de forma ambigua en un contrato de prestación de servicios civiles, donde se utilizan simultáneamente una suma fija y un porcentaje sobre resultados sin establecer una regla de prevalencia.

Por lo tanto, no es posible construir un silogismo jurídico para responder a la pregunta basándose *únicamente* en el contexto proporcionado.",1,
5,"¿Puede considerarse perfeccionado un contrato civil cuando existe acuerdo sobre objeto y precio, pero las partes dejaron pendiente la definición de una condición de ejecución que calificaban como esencial?","Si la voluntad de los interesados es ""disímil en algún punto -determinante- materia del negocio"", no tendrá lugar el surgimiento o floración plena del contrato en el cosmos jurídico. En el caso de los contratos consensuales, el acuerdo de voluntades determina su celebración, pero si una condición de ejecución calificada como esencial queda pendiente, esto implica una falta de coincidencia respecto de las bases proyectadas. Por lo tanto, si el contrato está ""en vía de perfeccionamiento"", no puede hablarse de que haya ""nacido a la vida jurídica"".

Citas:
*   ""Si la voluntad de los interesados, o de alguno de ellos, es negativa, o disímil en algún punto -determinante- materia del negocio, no tendrá lugar el surgimiento o floración plena del contrato en el cosmos jurídico” (CSJ, SC del 19 de diciembre de 2006, Ref. n.° 1998-10363-01; se subraya)."" [SENTENCIA | Sentencias | sc5185_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_26_11_2021_po_751932_número_de_pr | página 22]
*   ""estando todavía el contrato en vía de perfeccionamiento, no puede en rigor hablarse de nulidad de ninguna especie. El contrato no ha nacido a la vida jurídica y eso es todo (Corte Suprema de Justicia, Sala de Negocios Generales, providencia de 20 de septiembre de 1945)”. [SENTENCIA | Sentencias | sc397_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_22_02_2021_pon_722675_número_de_pr | página 42]","SILOGISMO JURÍDICO:

1.  **PREMISA MAYOR:**
    Según la jurisprudencia de la Corte Suprema de Justicia, para que un acuerdo de voluntades determine la celebración de un contrato, la ""intentio"" de los participantes debe ser positiva y coincidente respecto de las bases por ellos proyectadas. Si la voluntad de los interesados, o de alguno de ellos, es negativa o disímil en algún punto determinante materia del negocio, no tendrá lugar el surgimiento o floración plena del contrato en el cosmos jurídico (CSJ, SC del 19 de diciembre de 2006, Ref. n.° 1998-10363-01). En este sentido, la falta de los requisitos de existencia impide la formación o perfeccionamiento de los actos jurídicos, conduciendo a que estos se reputen inexistentes (SC5040_2021, pág. 18).

2.  **PREMISA MENOR:**
    En el caso planteado, aunque existe acuerdo sobre el objeto y el precio, las partes dejaron pendiente la definición de una condición de ejecución que ellas mismas calificaron como esencial. Al considerar esta condición como ""esencial"", las partes la elevaron a la categoría de un punto determinante o una base proyectada para el negocio. La ausencia de acuerdo sobre un elemento que las partes han calificado como esencial implica que su voluntad no es plenamente coincidente respecto de todas las bases proyectadas para el contrato, impidiendo así su perfeccionamiento.

3.  **CONCLUSIÓN:**
    No, un contrato civil no puede considerarse perfeccionado cuando, a pesar de existir acuerdo sobre el objeto y el precio, las partes dejaron pendiente la definición de una condición de ejecución que ellas mismas calificaban como esencial. La falta de acuerdo sobre un punto determinante para las partes impide la plena coincidencia de voluntades necesaria para el surgimiento del contrato a la vida jurídica.",1,
6,"Si una de las partes firma un contrato confiando en una versión preliminar distinta de la versión final, ¿cómo se analiza jurídicamente el error en la formación del consentimiento y qué hechos serían decisivos para valorar su relevancia?","Para analizar jurídicamente la situación en la que una de las partes firma un contrato confiando en una versión preliminar distinta de la versión final, se debe ""reconstruir, precisar e indagar"" la ""recíproca intensión de las partes"". Para ello, es forzoso apreciar el ""entorno cultural, social, económico, político, geográfico y temporal en una perspectiva retrospectiva y prospectiva, esto es, considerando además de la celebración, ejecución y conducta práctica negocial, la fase prodrómica, de gestación o formación"". Los ""actos, tratos o conversaciones preliminares enderezados a preparar la producción de un consentimiento contractual no son intrascendentes; por el contrario, una vez formado el consentimiento son parte integrante de él, y su importancia se traduce en servir de medios auxiliares para interpretar la verdadera intención de las partes"". Se reconoce que ""los instrumentos escriturarios otorgados para el perfeccionamiento de los acuerdos de voluntad entre particulares no siempre son reflejo fiel del querer de los"" negociantes, y puede existir una ""disconformidad entre la representación ofrecida a terceros y lo realmente deseado por los negociantes"".

Los hechos decisivos para valorar la relevancia de esta situación serían:
*   El ""entorno cultural, social, económico, político, geográfico y temporal"" en una perspectiva retrospectiva y prospectiva.
*   La ""celebración, ejecución y conducta práctica negocial"".
*   La ""fase prodrómica, de gestación o formación"", incluyendo los ""actos, tratos o conversaciones preliminares"".
*   Los hechos probados ""antes de la celebración del contrato, durante su ejecución y con posterioridad a la terminación intempestiva"", para valorar la intención de la parte al momento de contratar.
*   La valoración integral y en conjunto del ""acervo probatorio"", incluyendo el contrato, los documentos cruzados entre las partes y las pruebas practicadas en el proceso, como lo exige el artículo 176 del Código General del Proceso.

**Citas:**
*   [SENTENCIA | Sentencias | sc5185_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_26_11_2021_po_751932_número_de_pr | página 23]
*   [SENTENCIA | Sentencias | sc3755_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_28_11_2022_po_789342_número_de_pr | página 40]
*   [SENTENCIA | Sentencias | sc2906_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_29_07_2021_po_739039_número_de_pr | página 21]","SILOGISMO JURÍDICO:

1.  **PREMISA MAYOR:**
    La jurisprudencia colombiana, al indagar sobre la ""recíproca intensión de las partes"" en un contrato, ha puntualizado que para reconstruirla y precisarla es forzoso apreciar, entre muchos otros factores, la fase prodrómica, de gestación o formación del consentimiento. Los actos, tratos o conversaciones preliminares enderezados a preparar la producción de un consentimiento contractual no son intrascendentes; por el contrario, una vez formado el consentimiento, son parte integrante de él y su importancia se traduce en servir de medios auxiliares para interpretar la verdadera intención de las partes, la cual no siempre es fielmente reflejada por los instrumentos escriturarios. El derecho valora preservar el consentimiento real de los estipulantes por encima de la apariencia.

2.  **PREMISA MENOR:**
    Si una de las partes firma un contrato confiando en una versión preliminar distinta de la versión final, el análisis jurídico del error en la formación del consentimiento debe centrarse en la discrepancia entre la intención real de la parte, forjada durante la fase prodrómica y a través de las versiones preliminares, y la declaración de voluntad plasmada en el documento final. Para valorar la relevancia de este error, es decisivo estudiar el acervo probatorio de manera integral y en conjunto, incluyendo el contrato, los documentos cruzados entre las partes, y las pruebas practicadas en el proceso. Se deben delimitar los hechos probados antes de la celebración del contrato, durante su ejecución y con posterioridad, para determinar la verdadera intención de la parte al momento de contratar y la esencia, objeto y causa del acuerdo, contrastándolos con la versión preliminar en la que se confió.

3.  **CONCLUSIÓN:**
    El error en la formación del consentimiento, cuando una parte firma un contrato confiando en una versión preliminar distinta a la final, se analiza jurídicamente considerando los actos y conversaciones preliminares como parte integrante del consentimiento para interpretar la verdadera intención. Los hechos decisivos para valorar su relevancia serán aquellos que, mediante una apreciación integral de todas las pruebas (pre-contractuales, contractuales y post-contractuales), permitan reconstruir la intención real de la parte y evidenciar la discordancia entre esta y el contenido del contrato finalmente suscrito.",1,
7,"En un contrato de arrendamiento civil con dos cláusulas incompatibles sobre reajuste del canon, una anual por IPC y otra libremente determinada por el arrendador, ¿qué método interpretativo permite resolver la incompatibilidad sin vaciar el contrato de eficacia?","Para resolver la incompatibilidad entre dos cláusulas de un contrato de arrendamiento civil sobre el reajuste del canon, se debe aplicar el método interpretativo que establece que ""Las cláusulas de un contrato se interpretarán unas por otras, dándosele a cada una el sentido que mejor convenga al contrato en su totalidad.""

Cita: Artículo 1622 del Código Civil.","SILOGISMO JURÍDICO:

1.  **PREMISA MAYOR:**
    El Artículo 1622 del Código Civil Colombiano establece que ""Las cláusulas de un contrato se interpretarán unas por otras, dándosele a cada una el sentido que mejor convenga al contrato en su totalidad.""

2.  **PREMISA MENOR:**
    En el caso de un contrato de arrendamiento civil que contiene dos cláusulas incompatibles sobre el reajuste del canon (una anual por IPC y otra libremente determinada por el arrendador), la aplicación del Artículo 1622 del Código Civil exige que estas cláusulas se interpreten de manera sistemática. Esto implica que se debe buscar un sentido que armonice ambas disposiciones o que, al menos, permita que el contrato en su conjunto mantenga su eficacia, dándole a cada cláusula el significado que mejor se integre con la totalidad del acuerdo contractual.

3.  **CONCLUSIÓN:**
    Para resolver la incompatibilidad entre las cláusulas de reajuste del canon en el contrato de arrendamiento civil sin vaciarlo de eficacia, el método interpretativo que debe aplicarse es la interpretación sistemática, conforme a lo dispuesto en el Artículo 1622 del Código Civil.",1,
8,¿Cómo debe abordarse la interpretación de una cláusula oscura redactada exclusivamente por una de las partes cuando su sentido favorece claramente a quien la redactó?,"Las condiciones generales de los contratos, en caso de duda, serán interpretadas de la manera más favorable al consumidor, prevaleciendo las cláusulas más favorables al consumidor sobre aquellas que no lo sean.

Cita: NORMA | Ley_1480 | Ley 1480 | Artículo 34 | ley_1480_rag","SILOGISMO JURÍDICO:

1.  **PREMISA MAYOR:**
    Según el Artículo 34 de la Ley 1480 (Estatuto del Consumidor), las condiciones generales de los contratos deben interpretarse de la manera más favorable al consumidor, y en caso de duda, prevalecerán las cláusulas que le sean más favorables sobre aquellas que no lo sean. La jurisprudencia también ha señalado que, en contratos donde una de las partes redacta el clausulado, especialmente en aquellos que se presentan como un ""reglamento compacto y misterioso"", corresponde al juez investigar si una cláusula litigiosa fue verdaderamente aceptada o si su inserción constituye una ""trampa"" para una de las partes (SC13925_2016). Aunque se reconoce que una parte puede redactar el clausulado, esto no implica que la otra deba adherirse a exclusiones que revistan ambigüedad (SC4126_2021).

2.  **PREMISA MENOR:**
    La pregunta describe una ""cláusula oscura"" que ha sido redactada exclusivamente por una de las partes y cuyo sentido favorece claramente a quien la redactó. La oscuridad de la cláusula genera una ""duda"" sobre su verdadero alcance y la intención de las partes, especialmente de la parte no redactora. Esta situación se alinea con los escenarios de contratos de adhesión o de consumo, donde una de las partes impone las condiciones.

3.  **CONCLUSIÓN:**
    La interpretación de una cláusula oscura redactada exclusivamente por una de las partes, cuyo sentido favorece claramente a quien la redactó, debe abordarse de la manera más favorable a la parte no redactora, especialmente si esta es un consumidor. En caso de duda, prevalecerá la interpretación que beneficie al consumidor o a la parte que no redactó la cláusula, con el fin de evitar que la oscuridad de la redacción se convierta en una ""trampa"" o en un beneficio indebido para la parte que impuso la condición.",1,
9,"En un contrato de mandato, si el mandatario actuó dentro de los fines generales del negocio pero excedió instrucciones particulares, ¿cómo se determina si sus actos obligan al mandante frente al tercero?","No encontrado en el corpus. El contexto recuperado no contiene información suficiente para responder. El contexto explica que en el mandato no representativo o ""mandato oculto"", si el mandatario actúa en su propio nombre, no obliga al mandante frente a terceros, y los efectos del acto se radican en el mandatario, incluso si la conducta obedece a instrucciones del mandante. Sin embargo, no aborda la situación de un mandatario que, actuando a nombre del mandante, excede instrucciones particulares pero se mantiene dentro de los fines generales del negocio.

[SENTENCIA | Sentencias | sc3890_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_09_2021_po_744278_número_de_pr | página 14]
[SENTENCIA | Sentencias | sc3890_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_09_2021_po_744278_número_de_pr | página 15]
[SENTENCIA | Sentencias | sc3890_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_09_2021_po_744278_número_de_pr | página 21]","SILOGISMO JURÍDICO:

1.  **PREMISA MAYOR:** El contexto recuperado establece que, en un contrato de mandato, si el mandatario contrata a su propio nombre (mandato no representativo u oculto), no obliga al mandante frente a terceros, ya que los efectos del acto se radican en el mandatario, salvo que el tercero llegue a conocer el mandato y lo invoque para prevalecerse (art. 2177 C.C.). Por el contrario, si el mandatario da a conocer su condición intermediaria y actúa a nombre del mandante (mandato representativo), es el mandante quien asume sus compromisos, obligaciones y responsabilidades ante terceros, vinculando al mandante y al tercero.

2.  **PREMISA MENOR:** La pregunta plantea una situación en la que el mandatario actuó dentro de los fines generales del negocio pero excedió instrucciones particulares. El contexto recuperado distingue la vinculación del mandante a terceros según si el mandatario actúa en su propio nombre o en nombre del mandante. Sin embargo, no proporciona una norma o jurisprudencia específica que determine cómo se afecta la obligación del mandante frente al tercero cuando el mandatario, actuando en nombre del mandante, excede instrucciones particulares, aunque se mantenga dentro de los fines generales del negocio.

3.  **CONCLUSIÓN:** Basándose *únicamente* en el contexto recuperado, no es posible determinar cómo se establece la obligación del mandante frente al tercero en el escenario específico donde el mandatario, actuando en nombre del mandante, excede instrucciones particulares pero se mantiene dentro de los fines generales del negocio. El contexto se limita a establecer la regla general de vinculación según la modalidad del mandato (representativo o no representativo).",1,
10,¿Qué efectos produce en la validez de un contrato civil la discrepancia entre la causa expresada en el texto contractual y la causa real perseguida por las partes?,No encontrado en el corpus. El contexto recuperado no contiene información suficiente para responder.,"SILOGISMO JURÍDICO:

1.  **PREMISA MAYOR:** El contexto recuperado aborda diversos aspectos del Derecho Contractual Civil Colombiano, como la resolución de contratos por incumplimiento (artículo 1546 del Código Civil), el mutuo incumplimiento, la interpretación de normas sustanciales en el recurso de casación, la fuerza vinculante de los contratos (artículo 1602 del Código Civil) y los deberes de buena fe (artículo 1603 del Código Civil). Sin embargo, ninguna de las sentencias proporcionadas contiene una norma o jurisprudencia que defina o explique los efectos en la validez de un contrato civil cuando existe una discrepancia entre la causa expresada en el texto contractual y la causa real perseguida por las partes. Aunque una de las sentencias menciona la ""divergencia entre la voluntad real y la expresada por los contratantes"", lo hace para señalar que el artículo 1602 del Código Civil no es pertinente para este tipo de alegación, sin profundizar en las consecuencias de dicha divergencia en la validez del contrato ni relacionarla con el concepto de ""causa"".

2.  **PREMISA MENOR:** La pregunta solicita específicamente los efectos en la validez de un contrato civil ante una discrepancia entre la causa expresada y la causa real. El contexto recuperado no ofrece elementos normativos ni jurisprudenciales que aborden directamente la figura de la causa del contrato, sus requisitos de validez, o las consecuencias jurídicas (como la nulidad, inexistencia, ineficacia, etc.) que se derivarían de una divergencia entre la causa declarada y la causa verdadera.

3.  **CONCLUSIÓN:** Basado ÚNICAMENTE en el contexto recuperado, no es posible determinar qué efectos produce en la validez de un contrato civil la discrepancia entre la causa expresada en el texto contractual y la causa real perseguida por las partes, ya que la información proporcionada no aborda este punto específico del Derecho Contractual.",1,
