ID_Pregunta,Pregunta,Sistema,Fuente_Evaluada,Evaluador,Consistencia_Silogistica_J2,Fidelidad_Juridica_J2,Complejidad_J2,Observacion_Metodologica
1,"En un contrato de compraventa civil celebrado por escrito, una cláusula establece entrega inmediata del bien y otra dispone que la entrega solo procederá cuando el comprador obtenga aprobación bancaria, ¿cómo debe resolverse la contradicción interpretativa y qué criterios hermenéuticos deberían aplicarse para reconstruir la intención común de las partes?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,5,4,5,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
1,"En un contrato de compraventa civil celebrado por escrito, una cláusula establece entrega inmediata del bien y otra dispone que la entrega solo procederá cuando el comprador obtenga aprobación bancaria, ¿cómo debe resolverse la contradicción interpretativa y qué criterios hermenéuticos deberían aplicarse para reconstruir la intención común de las partes?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
2,"Si dos partes pactan verbalmente la modificación del plazo de un contrato previamente escrito, pero el contrato original contiene una cláusula que exige que toda modificación conste por escrito, ¿qué valor jurídico tendría la modificación verbal y bajo qué supuestos podría producir efectos?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
3,¿Cómo debe interpretarse una cláusula penal pactada en un contrato civil cuando su redacción permite entenderla tanto como sanción moratoria como indemnización compensatoria?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,5,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
3,¿Cómo debe interpretarse una cláusula penal pactada en un contrato civil cuando su redacción permite entenderla tanto como sanción moratoria como indemnización compensatoria?,RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
4,"En un contrato de prestación de servicios civiles, ¿qué consecuencias jurídicas se derivan si la remuneración fue acordada de forma ambigua, usando simultáneamente una suma fija y un porcentaje sobre resultados, sin establecer regla de prevalencia?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,3,4,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
5,"¿Puede considerarse perfeccionado un contrato civil cuando existe acuerdo sobre objeto y precio, pero las partes dejaron pendiente la definición de una condición de ejecución que calificaban como esencial?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,5,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
5,"¿Puede considerarse perfeccionado un contrato civil cuando existe acuerdo sobre objeto y precio, pero las partes dejaron pendiente la definición de una condición de ejecución que calificaban como esencial?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
6,"Si una de las partes firma un contrato confiando en una versión preliminar distinta de la versión final, ¿cómo se analiza jurídicamente el error en la formación del consentimiento y qué hechos serían decisivos para valorar su relevancia?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
6,"Si una de las partes firma un contrato confiando en una versión preliminar distinta de la versión final, ¿cómo se analiza jurídicamente el error en la formación del consentimiento y qué hechos serían decisivos para valorar su relevancia?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
7,"En un contrato de arrendamiento civil con dos cláusulas incompatibles sobre reajuste del canon, una anual por IPC y otra libremente determinada por el arrendador, ¿qué método interpretativo permite resolver la incompatibilidad sin vaciar el contrato de eficacia?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
7,"En un contrato de arrendamiento civil con dos cláusulas incompatibles sobre reajuste del canon, una anual por IPC y otra libremente determinada por el arrendador, ¿qué método interpretativo permite resolver la incompatibilidad sin vaciar el contrato de eficacia?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
8,¿Cómo debe abordarse la interpretación de una cláusula oscura redactada exclusivamente por una de las partes cuando su sentido favorece claramente a quien la redactó?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,3,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
8,¿Cómo debe abordarse la interpretación de una cláusula oscura redactada exclusivamente por una de las partes cuando su sentido favorece claramente a quien la redactó?,RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,2,3,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
9,"En un contrato de mandato, si el mandatario actuó dentro de los fines generales del negocio pero excedió instrucciones particulares, ¿cómo se determina si sus actos obligan al mandante frente al tercero?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
9,"En un contrato de mandato, si el mandatario actuó dentro de los fines generales del negocio pero excedió instrucciones particulares, ¿cómo se determina si sus actos obligan al mandante frente al tercero?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,2,4,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
