ID_Pregunta,Sistema,Consistencia_Silogistica,Fidelidad_Juridica,Complejidad
1,Agente_CoT_CoV,5,4,5
1,RAG_Base,2,4,2
2,Agente_CoT_CoV,4,4,4
3,Agente_CoT_CoV,5,4,4
3,RAG_Base,3,4,3
4,Agente_CoT_CoV,3,4,1
5,Agente_CoT_CoV,5,4,3
5,RAG_Base,3,4,3
6,Agente_CoT_CoV,4,4,4
6,RAG_Base,2,4,3
7,Agente_CoT_CoV,4,4,3
7,RAG_Base,3,4,2
8,Agente_CoT_CoV,4,3,3
8,RAG_Base,2,3,2
9,Agente_CoT_CoV,4,4,3
9,RAG_Base,2,4,2
10,Agente_CoT_CoV,4,4,3
11,Agente_CoT_CoV,4,4,3
12,Agente_CoT_CoV,4,4,3
12,RAG_Base,3,4,3
13,Agente_CoT_CoV,3,3,3
14,Agente_CoT_CoV,4,4,3
14,RAG_Base,3,4,2
15,Agente_CoT_CoV,4,4,4
15,RAG_Base,3,4,3
16,Agente_CoT_CoV,4,4,3
17,Agente_CoT_CoV,4,4,3
17,RAG_Base,3,4,3
18,Agente_CoT_CoV,4,3,3
19,Agente_CoT_CoV,4,3,4
19,RAG_Base,2,3,3
20,Agente_CoT_CoV,4,4,4
20,RAG_Base,3,4,3
21,Agente_CoT_CoV,5,4,5
21,RAG_Base,3,4,3
22,Agente_CoT_CoV,5,4,4
23,Agente_CoT_CoV,4,4,3
24,Agente_CoT_CoV,5,5,2
24,RAG_Base,4,5,2
25,RAG_Base,2,4,3
26,Agente_CoT_CoV,5,4,4
26,RAG_Base,3,4,4
27,Agente_CoT_CoV,4,4,3
27,RAG_Base,3,4,3
28,Agente_CoT_CoV,4,5,3
28,RAG_Base,4,5,3
29,Agente_CoT_CoV,4,4,2
29,RAG_Base,3,4,2
30,Agente_CoT_CoV,4,4,4
30,RAG_Base,2,3,3
31,Agente_CoT_CoV,4,4,3
31,RAG_Base,2,4,2
32,Agente_CoT_CoV,4,4,4
32,RAG_Base,3,4,3
33,Agente_CoT_CoV,4,4,3
33,RAG_Base,3,4,3
34,Agente_CoT_CoV,4,4,3
34,RAG_Base,3,4,3
35,Agente_CoT_CoV,3,4,2
36,Agente_CoT_CoV,4,4,3
36,RAG_Base,1,3,1
37,Agente_CoT_CoV,4,4,3
38,Agente_CoT_CoV,4,3,4
39,Agente_CoT_CoV,4,4,3
39,RAG_Base,3,4,3
40,Agente_CoT_CoV,5,5,4
41,Agente_CoT_CoV,3,4,1
42,Agente_CoT_CoV,4,4,4
42,RAG_Base,2,3,2
43,Agente_CoT_CoV,4,4,3
43,RAG_Base,2,3,3
44,Agente_CoT_CoV,4,4,3
44,RAG_Base,2,4,2
45,Agente_CoT_CoV,4,4,4
45,RAG_Base,3,4,3
46,Agente_CoT_CoV,4,4,3
46,RAG_Base,3,4,3
47,Agente_CoT_CoV,4,4,3
48,Agente_CoT_CoV,4,4,4
49,Agente_CoT_CoV,4,4,3
49,RAG_Base,3,4,3
50,Agente_CoT_CoV,5,4,4
50,RAG_Base,3,4,4
51,Agente_CoT_CoV,5,4,4
51,RAG_Base,3,4,3
52,Agente_CoT_CoV,4,4,2
53,Agente_CoT_CoV,4,4,4
54,Agente_CoT_CoV,4,4,3
55,Agente_CoT_CoV,4,4,4
56,Agente_CoT_CoV,4,3,3
56,RAG_Base,2,3,3
57,Agente_CoT_CoV,4,5,3
57,RAG_Base,3,5,2
58,Agente_CoT_CoV,5,5,4
58,RAG_Base,3,5,4
59,Agente_CoT_CoV,4,5,3
59,RAG_Base,4,5,3
60,Agente_CoT_CoV,4,4,3
60,RAG_Base,3,4,3
61,Agente_CoT_CoV,4,4,3
62,Agente_CoT_CoV,3,3,3
63,Agente_CoT_CoV,4,4,3
63,RAG_Base,3,4,2
64,Agente_CoT_CoV,4,4,3
64,RAG_Base,2,4,2
65,Agente_CoT_CoV,4,5,3
65,RAG_Base,3,5,2
66,Agente_CoT_CoV,4,3,3
67,Agente_CoT_CoV,3,3,3
68,Agente_CoT_CoV,4,3,4
69,Agente_CoT_CoV,4,4,4
70,Agente_CoT_CoV,4,4,3
71,Agente_CoT_CoV,4,4,4
72,Agente_CoT_CoV,4,4,3
72,RAG_Base,3,4,2
73,Agente_CoT_CoV,3,4,2
74,Agente_CoT_CoV,4,4,3
74,RAG_Base,3,4,2
75,Agente_CoT_CoV,4,3,4
75,RAG_Base,2,3,1
76,Agente_CoT_CoV,4,4,3
77,Agente_CoT_CoV,3,4,2
78,Agente_CoT_CoV,4,4,3
79,Agente_CoT_CoV,4,4,3
80,Agente_CoT_CoV,4,2,3
81,Agente_CoT_CoV,4,4,3
82,Agente_CoT_CoV,4,4,3
82,RAG_Base,3,4,2
83,Agente_CoT_CoV,3,4,2
84,Agente_CoT_CoV,3,3,3
84,RAG_Base,2,3,2
85,Agente_CoT_CoV,4,4,3
86,Agente_CoT_CoV,4,5,3
86,RAG_Base,4,5,2
87,Agente_CoT_CoV,5,4,4
87,RAG_Base,3,4,4
88,Agente_CoT_CoV,4,4,4
88,RAG_Base,3,4,3
89,Agente_CoT_CoV,3,3,2
89,RAG_Base,2,3,2
90,Agente_CoT_CoV,4,4,4
91,Agente_CoT_CoV,4,4,4
91,RAG_Base,3,4,3
92,Agente_CoT_CoV,4,4,2
93,Agente_CoT_CoV,4,5,3
94,Agente_CoT_CoV,3,3,3
94,RAG_Base,2,3,2
95,Agente_CoT_CoV,4,4,3
96,Agente_CoT_CoV,3,3,3
97,Agente_CoT_CoV,4,4,3
97,RAG_Base,3,4,3
98,Agente_CoT_CoV,4,5,3
98,RAG_Base,3,5,2
99,Agente_CoT_CoV,4,4,3
