ID_Pregunta,Sistema,Consistencia_Silogistica,Fidelidad_Juridica,Complejidad
1,RAG_Base,3,4,3
1,Agente_CoT_CoV,5,5,4
2,RAG_Base,1,1,1
2,Agente_CoT_CoV,5,4,4
3,RAG_Base,4,4,3
3,Agente_CoT_CoV,5,4,4
4,RAG_Base,1,1,1
4,Agente_CoT_CoV,2,1,1
5,RAG_Base,4,5,3
5,Agente_CoT_CoV,5,5,3
6,RAG_Base,3,4,4
6,Agente_CoT_CoV,5,5,4
7,RAG_Base,4,4,2
7,Agente_CoT_CoV,5,4,2
8,RAG_Base,4,4,2
8,Agente_CoT_CoV,4,5,3
9,RAG_Base,1,1,1
9,Agente_CoT_CoV,2,1,1
10,RAG_Base,1,1,1
10,Agente_CoT_CoV,2,1,1
11,RAG_Base,1,1,1
11,Agente_CoT_CoV,2,2,2
12,RAG_Base,3,4,3
12,Agente_CoT_CoV,5,5,3
13,RAG_Base,1,1,1
13,Agente_CoT_CoV,4,4,3
14,RAG_Base,3,4,2
14,Agente_CoT_CoV,5,5,3
15,RAG_Base,4,4,3
15,Agente_CoT_CoV,5,5,4
16,RAG_Base,1,1,1
16,Agente_CoT_CoV,4,4,3
17,RAG_Base,4,4,3
17,Agente_CoT_CoV,5,4,4
18,RAG_Base,1,1,1
18,Agente_CoT_CoV,4,4,3
19,RAG_Base,4,4,3
19,Agente_CoT_CoV,5,5,4
20,RAG_Base,3,4,3
20,Agente_CoT_CoV,5,5,4
21,RAG_Base,2,3,3
21,Agente_CoT_CoV,5,5,4
22,RAG_Base,1,1,1
22,Agente_CoT_CoV,4,4,3
23,RAG_Base,1,1,1
23,Agente_CoT_CoV,4,4,3
24,RAG_Base,4,4,2
24,Agente_CoT_CoV,5,5,3
25,RAG_Base,2,3,2
25,Agente_CoT_CoV,4,4,3
26,RAG_Base,3,4,4
26,Agente_CoT_CoV,5,4,4
27,RAG_Base,3,3,3
27,Agente_CoT_CoV,4,4,4
28,RAG_Base,3,4,3
28,Agente_CoT_CoV,5,5,4
29,RAG_Base,3,4,2
29,Agente_CoT_CoV,4,4,3
30,RAG_Base,2,3,3
30,Agente_CoT_CoV,5,5,4
31,RAG_Base,2,4,2
31,Agente_CoT_CoV,4,5,3
32,RAG_Base,3,4,3
32,Agente_CoT_CoV,5,5,4
33,RAG_Base,3,4,3
33,Agente_CoT_CoV,4,5,4
34,RAG_Base,3,4,3
34,Agente_CoT_CoV,5,5,4
35,RAG_Base,1,1,1
35,Agente_CoT_CoV,3,4,2
36,RAG_Base,1,3,1
36,Agente_CoT_CoV,4,4,3
37,RAG_Base,1,1,1
37,Agente_CoT_CoV,4,4,3
38,RAG_Base,1,1,1
38,Agente_CoT_CoV,4,4,3
39,RAG_Base,3,4,3
39,Agente_CoT_CoV,5,5,4
40,RAG_Base,1,1,1
40,Agente_CoT_CoV,5,5,4
41,RAG_Base,1,1,1
41,Agente_CoT_CoV,3,4,2
42,RAG_Base,2,3,2
42,Agente_CoT_CoV,4,4,4
43,RAG_Base,2,3,3
43,Agente_CoT_CoV,5,4,4
44,RAG_Base,2,4,2
44,Agente_CoT_CoV,4,5,3
45,RAG_Base,3,4,3
45,Agente_CoT_CoV,5,5,4
46,RAG_Base,3,4,3
46,Agente_CoT_CoV,4,5,3
47,RAG_Base,1,1,1
47,Agente_CoT_CoV,4,4,3
48,RAG_Base,1,1,1
48,Agente_CoT_CoV,4,5,4
49,RAG_Base,3,4,3
49,Agente_CoT_CoV,5,5,4
50,RAG_Base,3,4,4
50,Agente_CoT_CoV,5,5,4
51,RAG_Base,3,4,3
51,Agente_CoT_CoV,5,5,4
52,RAG_Base,1,1,1
52,Agente_CoT_CoV,4,4,3
53,RAG_Base,1,1,1
53,Agente_CoT_CoV,4,5,4
54,RAG_Base,1,1,1
54,Agente_CoT_CoV,4,4,3
55,RAG_Base,1,1,1
55,Agente_CoT_CoV,4,4,4
56,RAG_Base,2,3,3
56,Agente_CoT_CoV,4,4,3
57,RAG_Base,3,5,2
57,Agente_CoT_CoV,5,5,4
58,RAG_Base,3,5,4
58,Agente_CoT_CoV,5,5,4
59,RAG_Base,4,5,3
59,Agente_CoT_CoV,5,5,4
60,RAG_Base,3,4,3
60,Agente_CoT_CoV,4,4,4
61,RAG_Base,1,1,1
61,Agente_CoT_CoV,4,4,3
62,RAG_Base,1,1,1
62,Agente_CoT_CoV,3,4,3
63,RAG_Base,3,4,2
63,Agente_CoT_CoV,4,5,3
64,RAG_Base,2,4,2
64,Agente_CoT_CoV,4,4,3
65,RAG_Base,3,5,2
65,Agente_CoT_CoV,5,5,4
66,RAG_Base,1,1,1
66,Agente_CoT_CoV,4,4,3
67,RAG_Base,1,1,1
67,Agente_CoT_CoV,3,4,3
68,RAG_Base,1,1,1
68,Agente_CoT_CoV,4,4,4
69,RAG_Base,1,1,1
69,Agente_CoT_CoV,4,5,4
70,RAG_Base,1,1,1
70,Agente_CoT_CoV,4,4,3
71,RAG_Base,1,1,1
71,Agente_CoT_CoV,4,5,4
72,RAG_Base,3,4,2
72,Agente_CoT_CoV,4,4,3
73,RAG_Base,1,1,1
73,Agente_CoT_CoV,3,4,2
74,RAG_Base,3,4,2
74,Agente_CoT_CoV,4,4,3
75,RAG_Base,2,3,1
75,Agente_CoT_CoV,4,4,4
76,RAG_Base,1,1,1
76,Agente_CoT_CoV,4,4,3
77,RAG_Base,1,1,1
77,Agente_CoT_CoV,3,4,2
78,RAG_Base,1,1,1
78,Agente_CoT_CoV,4,4,3
79,RAG_Base,1,1,1
79,Agente_CoT_CoV,4,4,3
80,RAG_Base,1,1,1
80,Agente_CoT_CoV,4,3,3
81,RAG_Base,1,1,1
81,Agente_CoT_CoV,4,4,3
82,RAG_Base,3,4,2
82,Agente_CoT_CoV,4,5,4
83,RAG_Base,1,1,1
83,Agente_CoT_CoV,3,4,2
84,RAG_Base,2,3,2
84,Agente_CoT_CoV,4,4,3
85,RAG_Base,1,1,1
85,Agente_CoT_CoV,4,4,3
86,RAG_Base,4,5,2
86,Agente_CoT_CoV,5,5,4
87,RAG_Base,3,4,4
87,Agente_CoT_CoV,5,5,4
88,RAG_Base,3,4,3
88,Agente_CoT_CoV,4,5,4
89,RAG_Base,2,3,2
89,Agente_CoT_CoV,3,4,3
90,RAG_Base,1,1,1
90,Agente_CoT_CoV,4,4,4
91,RAG_Base,3,4,3
91,Agente_CoT_CoV,5,5,4
92,RAG_Base,1,1,1
92,Agente_CoT_CoV,4,4,3
93,RAG_Base,1,1,1
93,Agente_CoT_CoV,4,5,4
94,RAG_Base,2,3,2
94,Agente_CoT_CoV,3,4,3
95,RAG_Base,1,1,1
95,Agente_CoT_CoV,4,4,3
96,RAG_Base,1,1,1
96,Agente_CoT_CoV,3,4,3
97,RAG_Base,3,4,3
97,Agente_CoT_CoV,4,4,4
98,RAG_Base,3,5,2
98,Agente_CoT_CoV,5,5,4
99,RAG_Base,1,1,1
99,Agente_CoT_CoV,4,4,3
100,RAG_Base,1,1,1
100,Agente_CoT_CoV,3,4,3
101,RAG_Base,1,1,1
101,Agente_CoT_CoV,4,4,3
102,RAG_Base,1,1,1
102,Agente_CoT_CoV,4,4,4
103,RAG_Base,1,1,1
103,Agente_CoT_CoV,4,5,4
104,RAG_Base,1,1,1
104,Agente_CoT_CoV,4,4,3
105,RAG_Base,1,1,1
105,Agente_CoT_CoV,3,4,2
106,RAG_Base,1,1,1
106,Agente_CoT_CoV,3,4,2
107,RAG_Base,1,1,1
107,Agente_CoT_CoV,2,4,2
108,RAG_Base,3,4,3
108,Agente_CoT_CoV,4,4,4
109,RAG_Base,1,1,1
109,Agente_CoT_CoV,4,4,4
110,RAG_Base,3,4,3
110,Agente_CoT_CoV,5,5,4
111,RAG_Base,3,4,2
111,Agente_CoT_CoV,4,4,3
112,RAG_Base,1,1,1
112,Agente_CoT_CoV,3,4,2
113,RAG_Base,1,1,1
113,Agente_CoT_CoV,4,4,4
114,RAG_Base,1,1,1
114,Agente_CoT_CoV,4,4,3
115,RAG_Base,1,1,1
115,Agente_CoT_CoV,4,4,3
116,RAG_Base,3,5,3
116,Agente_CoT_CoV,5,5,4
117,RAG_Base,3,4,3
117,Agente_CoT_CoV,4,4,4
118,RAG_Base,1,1,1
118,Agente_CoT_CoV,3,4,3
119,RAG_Base,1,1,1
119,Agente_CoT_CoV,4,4,3
120,RAG_Base,2,4,4
120,Agente_CoT_CoV,5,5,5
