ID_Pregunta,Sistema,Consistencia_Silogistica,Fidelidad_Juridica,Complejidad,Experto
1,Agente_CoT_CoV,5,4,5,Aristizabal
1,Agente_CoT_CoV,5,4,5,Franco
1,Agente_CoT_CoV,5,5,4,Gonzalez
1,RAG_Base,3,4,3,Aristizabal
1,RAG_Base,2,4,2,Franco
1,RAG_Base,3,4,3,Gonzalez
2,Agente_CoT_CoV,4,4,4,Aristizabal
2,Agente_CoT_CoV,4,4,4,Franco
2,Agente_CoT_CoV,5,4,4,Gonzalez
2,RAG_Base,1,1,1,Gonzalez
3,Agente_CoT_CoV,5,4,4,Aristizabal
3,Agente_CoT_CoV,5,4,4,Franco
3,Agente_CoT_CoV,5,4,4,Gonzalez
3,RAG_Base,3,4,3,Aristizabal
3,RAG_Base,3,4,3,Franco
3,RAG_Base,4,4,3,Gonzalez
4,Agente_CoT_CoV,3,4,2,Aristizabal
4,Agente_CoT_CoV,3,4,1,Franco
4,Agente_CoT_CoV,2,1,1,Gonzalez
4,RAG_Base,1,1,1,Gonzalez
5,Agente_CoT_CoV,5,4,3,Aristizabal
5,Agente_CoT_CoV,5,4,3,Franco
5,Agente_CoT_CoV,5,5,3,Gonzalez
5,RAG_Base,3,4,3,Aristizabal
5,RAG_Base,3,4,3,Franco
5,RAG_Base,4,5,3,Gonzalez
6,Agente_CoT_CoV,4,4,4,Aristizabal
6,Agente_CoT_CoV,4,4,4,Franco
6,Agente_CoT_CoV,5,5,4,Gonzalez
6,RAG_Base,3,4,3,Aristizabal
6,RAG_Base,2,4,3,Franco
6,RAG_Base,3,4,4,Gonzalez
7,Agente_CoT_CoV,4,4,3,Aristizabal
7,Agente_CoT_CoV,4,4,3,Franco
7,Agente_CoT_CoV,5,4,2,Gonzalez
7,RAG_Base,3,4,2,Aristizabal
7,RAG_Base,3,4,2,Franco
7,RAG_Base,4,4,2,Gonzalez
8,Agente_CoT_CoV,4,3,3,Aristizabal
8,Agente_CoT_CoV,4,3,3,Franco
8,Agente_CoT_CoV,4,5,3,Gonzalez
8,RAG_Base,2,3,2,Aristizabal
8,RAG_Base,2,3,2,Franco
8,RAG_Base,4,4,2,Gonzalez
9,Agente_CoT_CoV,4,4,3,Aristizabal
9,Agente_CoT_CoV,4,4,3,Franco
9,Agente_CoT_CoV,2,1,1,Gonzalez
9,RAG_Base,2,4,2,Aristizabal
9,RAG_Base,2,4,2,Franco
9,RAG_Base,1,1,1,Gonzalez
10,Agente_CoT_CoV,4,4,3,Aristizabal
10,Agente_CoT_CoV,4,4,3,Franco
10,Agente_CoT_CoV,2,1,1,Gonzalez
10,RAG_Base,1,1,1,Gonzalez
11,Agente_CoT_CoV,4,4,3,Aristizabal
11,Agente_CoT_CoV,4,4,3,Franco
11,Agente_CoT_CoV,2,2,2,Gonzalez
11,RAG_Base,1,1,1,Gonzalez
12,Agente_CoT_CoV,4,4,3,Aristizabal
12,Agente_CoT_CoV,4,4,3,Franco
12,Agente_CoT_CoV,5,5,3,Gonzalez
12,RAG_Base,3,4,3,Aristizabal
12,RAG_Base,3,4,3,Franco
12,RAG_Base,3,4,3,Gonzalez
13,Agente_CoT_CoV,3,3,3,Aristizabal
13,Agente_CoT_CoV,3,3,3,Franco
13,Agente_CoT_CoV,4,4,3,Gonzalez
13,RAG_Base,1,1,1,Gonzalez
14,Agente_CoT_CoV,4,4,3,Aristizabal
14,Agente_CoT_CoV,4,4,3,Franco
14,Agente_CoT_CoV,5,5,3,Gonzalez
14,RAG_Base,3,4,2,Aristizabal
14,RAG_Base,3,4,2,Franco
14,RAG_Base,3,4,2,Gonzalez
15,Agente_CoT_CoV,4,4,4,Aristizabal
15,Agente_CoT_CoV,4,4,4,Franco
15,Agente_CoT_CoV,5,5,4,Gonzalez
15,RAG_Base,3,4,3,Aristizabal
15,RAG_Base,3,4,3,Franco
15,RAG_Base,4,4,3,Gonzalez
16,Agente_CoT_CoV,4,4,3,Aristizabal
16,Agente_CoT_CoV,4,4,3,Franco
16,Agente_CoT_CoV,4,4,3,Gonzalez
16,RAG_Base,1,1,1,Gonzalez
17,Agente_CoT_CoV,4,4,3,Aristizabal
17,Agente_CoT_CoV,4,4,3,Franco
17,Agente_CoT_CoV,5,4,4,Gonzalez
17,RAG_Base,3,4,3,Aristizabal
17,RAG_Base,3,4,3,Franco
17,RAG_Base,4,4,3,Gonzalez
18,Agente_CoT_CoV,4,3,3,Aristizabal
18,Agente_CoT_CoV,4,3,3,Franco
18,Agente_CoT_CoV,4,4,3,Gonzalez
18,RAG_Base,1,1,1,Gonzalez
19,Agente_CoT_CoV,4,3,4,Aristizabal
19,Agente_CoT_CoV,4,3,4,Franco
19,Agente_CoT_CoV,5,5,4,Gonzalez
19,RAG_Base,2,3,3,Aristizabal
19,RAG_Base,2,3,3,Franco
19,RAG_Base,4,4,3,Gonzalez
20,Agente_CoT_CoV,4,4,4,Aristizabal
20,Agente_CoT_CoV,4,4,4,Franco
20,Agente_CoT_CoV,5,5,4,Gonzalez
20,RAG_Base,3,4,3,Aristizabal
20,RAG_Base,3,4,3,Franco
20,RAG_Base,3,4,3,Gonzalez
21,Agente_CoT_CoV,5,4,5,Aristizabal
21,Agente_CoT_CoV,5,4,5,Franco
21,Agente_CoT_CoV,5,5,4,Gonzalez
21,RAG_Base,3,4,3,Aristizabal
21,RAG_Base,3,4,3,Franco
21,RAG_Base,2,3,3,Gonzalez
22,Agente_CoT_CoV,5,4,4,Aristizabal
22,Agente_CoT_CoV,5,4,4,Franco
22,Agente_CoT_CoV,4,4,3,Gonzalez
22,RAG_Base,1,1,1,Gonzalez
23,Agente_CoT_CoV,4,4,3,Aristizabal
23,Agente_CoT_CoV,4,4,3,Franco
23,Agente_CoT_CoV,4,4,3,Gonzalez
23,RAG_Base,1,1,1,Gonzalez
24,Agente_CoT_CoV,5,5,2,Aristizabal
24,Agente_CoT_CoV,5,5,2,Franco
24,Agente_CoT_CoV,5,5,3,Gonzalez
24,RAG_Base,4,5,2,Aristizabal
24,RAG_Base,4,5,2,Franco
24,RAG_Base,4,4,2,Gonzalez
25,Agente_CoT_CoV,4,4,3,Gonzalez
25,RAG_Base,2,4,3,Aristizabal
25,RAG_Base,2,4,3,Franco
25,RAG_Base,2,3,2,Gonzalez
26,Agente_CoT_CoV,5,4,4,Aristizabal
26,Agente_CoT_CoV,5,4,4,Franco
26,Agente_CoT_CoV,5,4,4,Gonzalez
26,RAG_Base,3,4,4,Aristizabal
26,RAG_Base,3,4,4,Franco
26,RAG_Base,3,4,4,Gonzalez
27,Agente_CoT_CoV,4,4,3,Aristizabal
27,Agente_CoT_CoV,4,4,3,Franco
27,Agente_CoT_CoV,4,4,4,Gonzalez
27,RAG_Base,3,4,3,Aristizabal
27,RAG_Base,3,4,3,Franco
27,RAG_Base,3,3,3,Gonzalez
28,Agente_CoT_CoV,4,5,3,Aristizabal
28,Agente_CoT_CoV,4,5,3,Franco
28,Agente_CoT_CoV,5,5,4,Gonzalez
28,RAG_Base,4,5,3,Aristizabal
28,RAG_Base,4,5,3,Franco
28,RAG_Base,3,4,3,Gonzalez
29,Agente_CoT_CoV,4,4,2,Aristizabal
29,Agente_CoT_CoV,4,4,2,Franco
29,Agente_CoT_CoV,4,4,3,Gonzalez
29,RAG_Base,3,4,2,Aristizabal
29,RAG_Base,3,4,2,Franco
29,RAG_Base,3,4,2,Gonzalez
30,Agente_CoT_CoV,4,4,4,Aristizabal
30,Agente_CoT_CoV,4,4,4,Franco
30,Agente_CoT_CoV,5,5,4,Gonzalez
30,RAG_Base,3,3,3,Aristizabal
30,RAG_Base,2,3,3,Franco
30,RAG_Base,2,3,3,Gonzalez
31,Agente_CoT_CoV,4,4,3,Aristizabal
31,Agente_CoT_CoV,4,4,3,Franco
31,Agente_CoT_CoV,4,5,3,Gonzalez
31,RAG_Base,3,4,2,Aristizabal
31,RAG_Base,2,4,2,Franco
31,RAG_Base,2,4,2,Gonzalez
32,Agente_CoT_CoV,4,4,4,Aristizabal
32,Agente_CoT_CoV,4,4,4,Franco
32,Agente_CoT_CoV,5,5,4,Gonzalez
32,RAG_Base,3,4,3,Aristizabal
32,RAG_Base,3,4,3,Franco
32,RAG_Base,3,4,3,Gonzalez
33,Agente_CoT_CoV,4,4,3,Aristizabal
33,Agente_CoT_CoV,4,4,3,Franco
33,Agente_CoT_CoV,4,5,4,Gonzalez
33,RAG_Base,3,4,3,Aristizabal
33,RAG_Base,3,4,3,Franco
33,RAG_Base,3,4,3,Gonzalez
34,Agente_CoT_CoV,4,4,3,Aristizabal
34,Agente_CoT_CoV,4,4,3,Franco
34,Agente_CoT_CoV,5,5,4,Gonzalez
34,RAG_Base,3,4,3,Aristizabal
34,RAG_Base,3,4,3,Franco
34,RAG_Base,3,4,3,Gonzalez
35,Agente_CoT_CoV,3,4,2,Aristizabal
35,Agente_CoT_CoV,3,4,2,Franco
35,Agente_CoT_CoV,3,4,2,Gonzalez
35,RAG_Base,1,1,1,Gonzalez
36,Agente_CoT_CoV,4,4,3,Aristizabal
36,Agente_CoT_CoV,4,4,3,Franco
36,Agente_CoT_CoV,4,4,3,Gonzalez
36,RAG_Base,2,3,1,Aristizabal
36,RAG_Base,1,3,1,Franco
36,RAG_Base,1,3,1,Gonzalez
37,Agente_CoT_CoV,4,4,3,Aristizabal
37,Agente_CoT_CoV,4,4,3,Franco
37,Agente_CoT_CoV,4,4,3,Gonzalez
37,RAG_Base,1,1,1,Gonzalez
38,Agente_CoT_CoV,4,3,4,Aristizabal
38,Agente_CoT_CoV,4,3,4,Franco
38,Agente_CoT_CoV,4,4,3,Gonzalez
38,RAG_Base,1,1,1,Gonzalez
39,Agente_CoT_CoV,4,4,3,Aristizabal
39,Agente_CoT_CoV,4,4,3,Franco
39,Agente_CoT_CoV,5,5,4,Gonzalez
39,RAG_Base,3,4,3,Aristizabal
39,RAG_Base,3,4,3,Franco
39,RAG_Base,3,4,3,Gonzalez
40,Agente_CoT_CoV,5,5,4,Aristizabal
40,Agente_CoT_CoV,5,5,4,Franco
40,Agente_CoT_CoV,5,5,4,Gonzalez
40,RAG_Base,1,1,1,Gonzalez
41,Agente_CoT_CoV,3,4,2,Aristizabal
41,Agente_CoT_CoV,3,4,1,Franco
41,Agente_CoT_CoV,3,4,2,Gonzalez
41,RAG_Base,1,1,1,Gonzalez
42,Agente_CoT_CoV,4,4,4,Aristizabal
42,Agente_CoT_CoV,4,4,4,Franco
42,Agente_CoT_CoV,4,4,4,Gonzalez
42,RAG_Base,2,3,2,Aristizabal
42,RAG_Base,2,3,2,Franco
42,RAG_Base,2,3,2,Gonzalez
43,Agente_CoT_CoV,4,4,3,Aristizabal
43,Agente_CoT_CoV,4,4,3,Franco
43,Agente_CoT_CoV,5,4,4,Gonzalez
43,RAG_Base,2,3,3,Aristizabal
43,RAG_Base,2,3,3,Franco
43,RAG_Base,2,3,3,Gonzalez
44,Agente_CoT_CoV,4,4,3,Aristizabal
44,Agente_CoT_CoV,4,4,3,Franco
44,Agente_CoT_CoV,4,5,3,Gonzalez
44,RAG_Base,2,4,2,Aristizabal
44,RAG_Base,2,4,2,Franco
44,RAG_Base,2,4,2,Gonzalez
45,Agente_CoT_CoV,4,4,4,Aristizabal
45,Agente_CoT_CoV,4,4,4,Franco
45,Agente_CoT_CoV,5,5,4,Gonzalez
45,RAG_Base,3,4,3,Aristizabal
45,RAG_Base,3,4,3,Franco
45,RAG_Base,3,4,3,Gonzalez
46,Agente_CoT_CoV,4,4,3,Aristizabal
46,Agente_CoT_CoV,4,4,3,Franco
46,Agente_CoT_CoV,4,5,3,Gonzalez
46,RAG_Base,3,4,3,Aristizabal
46,RAG_Base,3,4,3,Franco
46,RAG_Base,3,4,3,Gonzalez
47,Agente_CoT_CoV,4,4,3,Aristizabal
47,Agente_CoT_CoV,4,4,3,Franco
47,Agente_CoT_CoV,4,4,3,Gonzalez
47,RAG_Base,1,1,1,Gonzalez
48,Agente_CoT_CoV,4,4,4,Aristizabal
48,Agente_CoT_CoV,4,4,4,Franco
48,Agente_CoT_CoV,4,5,4,Gonzalez
48,RAG_Base,1,1,1,Gonzalez
49,Agente_CoT_CoV,4,4,3,Aristizabal
49,Agente_CoT_CoV,4,4,3,Franco
49,Agente_CoT_CoV,5,5,4,Gonzalez
49,RAG_Base,3,4,3,Aristizabal
49,RAG_Base,3,4,3,Franco
49,RAG_Base,3,4,3,Gonzalez
50,Agente_CoT_CoV,5,4,4,Aristizabal
50,Agente_CoT_CoV,5,4,4,Franco
50,Agente_CoT_CoV,5,5,4,Gonzalez
50,RAG_Base,3,4,4,Aristizabal
50,RAG_Base,3,4,4,Franco
50,RAG_Base,3,4,4,Gonzalez
51,Agente_CoT_CoV,5,4,4,Aristizabal
51,Agente_CoT_CoV,5,4,4,Franco
51,Agente_CoT_CoV,5,5,4,Gonzalez
51,RAG_Base,3,4,3,Aristizabal
51,RAG_Base,3,4,3,Franco
51,RAG_Base,3,4,3,Gonzalez
52,Agente_CoT_CoV,4,4,2,Aristizabal
52,Agente_CoT_CoV,4,4,2,Franco
52,Agente_CoT_CoV,4,4,3,Gonzalez
52,RAG_Base,1,1,1,Gonzalez
53,Agente_CoT_CoV,4,4,4,Aristizabal
53,Agente_CoT_CoV,4,4,4,Franco
53,Agente_CoT_CoV,4,5,4,Gonzalez
53,RAG_Base,1,1,1,Gonzalez
54,Agente_CoT_CoV,4,4,3,Aristizabal
54,Agente_CoT_CoV,4,4,3,Franco
54,Agente_CoT_CoV,4,4,3,Gonzalez
54,RAG_Base,1,1,1,Gonzalez
55,Agente_CoT_CoV,4,4,4,Aristizabal
55,Agente_CoT_CoV,4,4,4,Franco
55,Agente_CoT_CoV,4,4,4,Gonzalez
55,RAG_Base,1,1,1,Gonzalez
56,Agente_CoT_CoV,4,3,3,Aristizabal
56,Agente_CoT_CoV,4,3,3,Franco
56,Agente_CoT_CoV,4,4,3,Gonzalez
56,RAG_Base,2,3,3,Aristizabal
56,RAG_Base,2,3,3,Franco
56,RAG_Base,2,3,3,Gonzalez
57,Agente_CoT_CoV,4,5,3,Aristizabal
57,Agente_CoT_CoV,4,5,3,Franco
57,Agente_CoT_CoV,5,5,4,Gonzalez
57,RAG_Base,3,5,2,Aristizabal
57,RAG_Base,3,5,2,Franco
57,RAG_Base,3,5,2,Gonzalez
58,Agente_CoT_CoV,5,5,4,Aristizabal
58,Agente_CoT_CoV,5,5,4,Franco
58,Agente_CoT_CoV,5,5,4,Gonzalez
58,RAG_Base,3,5,4,Aristizabal
58,RAG_Base,3,5,4,Franco
58,RAG_Base,3,5,4,Gonzalez
59,Agente_CoT_CoV,4,5,3,Aristizabal
