ID_Pregunta,Agente_CoT_CoV,RAG_Base,Diferencia_Agente_menos_RAG,Dimension
1,5.0,2.6666666666666665,2.3333333333333335,Consistencia_Silogistica
3,5.0,3.3333333333333335,1.6666666666666665,Consistencia_Silogistica
5,5.0,3.3333333333333335,1.6666666666666665,Consistencia_Silogistica
6,4.333333333333333,2.6666666666666665,1.6666666666666665,Consistencia_Silogistica
7,4.333333333333333,3.3333333333333335,0.9999999999999996,Consistencia_Silogistica
8,4.0,2.6666666666666665,1.3333333333333335,Consistencia_Silogistica
9,3.3333333333333335,1.6666666666666667,1.6666666666666667,Consistencia_Silogistica
12,4.333333333333333,3.0,1.333333333333333,Consistencia_Silogistica
14,4.333333333333333,3.0,1.333333333333333,Consistencia_Silogistica
15,4.333333333333333,3.3333333333333335,0.9999999999999996,Consistencia_Silogistica
17,4.333333333333333,3.3333333333333335,0.9999999999999996,Consistencia_Silogistica
19,4.333333333333333,2.6666666666666665,1.6666666666666665,Consistencia_Silogistica
20,4.333333333333333,3.0,1.333333333333333,Consistencia_Silogistica
21,5.0,2.6666666666666665,2.3333333333333335,Consistencia_Silogistica
24,5.0,4.0,1.0,Consistencia_Silogistica
26,5.0,3.0,2.0,Consistencia_Silogistica
27,4.0,3.0,1.0,Consistencia_Silogistica
28,4.333333333333333,3.6666666666666665,0.6666666666666665,Consistencia_Silogistica
29,4.0,3.0,1.0,Consistencia_Silogistica
30,4.333333333333333,2.3333333333333335,1.9999999999999996,Consistencia_Silogistica
31,4.0,2.3333333333333335,1.6666666666666665,Consistencia_Silogistica
32,4.333333333333333,3.0,1.333333333333333,Consistencia_Silogistica
33,4.0,3.0,1.0,Consistencia_Silogistica
34,4.333333333333333,3.0,1.333333333333333,Consistencia_Silogistica
36,4.0,1.3333333333333333,2.666666666666667,Consistencia_Silogistica
39,4.333333333333333,3.0,1.333333333333333,Consistencia_Silogistica
42,4.0,2.0,2.0,Consistencia_Silogistica
43,4.333333333333333,2.0,2.333333333333333,Consistencia_Silogistica
44,4.0,2.0,2.0,Consistencia_Silogistica
45,4.333333333333333,3.0,1.333333333333333,Consistencia_Silogistica
46,4.0,3.0,1.0,Consistencia_Silogistica
49,4.333333333333333,3.0,1.333333333333333,Consistencia_Silogistica
50,5.0,3.0,2.0,Consistencia_Silogistica
51,5.0,3.0,2.0,Consistencia_Silogistica
56,4.0,2.0,2.0,Consistencia_Silogistica
57,4.333333333333333,3.0,1.333333333333333,Consistencia_Silogistica
58,5.0,3.0,2.0,Consistencia_Silogistica
59,4.333333333333333,4.0,0.33333333333333304,Consistencia_Silogistica
60,4.0,3.0,1.0,Consistencia_Silogistica
63,4.0,3.0,1.0,Consistencia_Silogistica
64,4.0,2.0,2.0,Consistencia_Silogistica
65,4.333333333333333,3.0,1.333333333333333,Consistencia_Silogistica
72,4.0,3.0,1.0,Consistencia_Silogistica
74,4.0,3.0,1.0,Consistencia_Silogistica
75,4.0,2.0,2.0,Consistencia_Silogistica
82,4.0,3.0,1.0,Consistencia_Silogistica
84,3.3333333333333335,2.0,1.3333333333333335,Consistencia_Silogistica
86,4.333333333333333,4.0,0.33333333333333304,Consistencia_Silogistica
87,5.0,3.0,2.0,Consistencia_Silogistica
88,4.0,3.0,1.0,Consistencia_Silogistica
89,3.0,2.0,1.0,Consistencia_Silogistica
91,4.333333333333333,3.0,1.333333333333333,Consistencia_Silogistica
94,3.0,2.0,1.0,Consistencia_Silogistica
97,4.0,3.0,1.0,Consistencia_Silogistica
98,4.333333333333333,3.0,1.333333333333333,Consistencia_Silogistica
108,4.0,3.0,1.0,Consistencia_Silogistica
110,4.333333333333333,3.0,1.333333333333333,Consistencia_Silogistica
111,4.0,3.0,1.0,Consistencia_Silogistica
116,4.333333333333333,3.0,1.333333333333333,Consistencia_Silogistica
117,4.0,3.0,1.0,Consistencia_Silogistica
120,4.333333333333333,2.0,2.333333333333333,Consistencia_Silogistica
1,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
3,4.0,4.0,0.0,Fidelidad_Juridica
5,4.333333333333333,4.333333333333333,0.0,Fidelidad_Juridica
6,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
7,4.0,4.0,0.0,Fidelidad_Juridica
8,3.6666666666666665,3.3333333333333335,0.33333333333333304,Fidelidad_Juridica
9,3.0,3.0,0.0,Fidelidad_Juridica
12,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
14,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
15,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
17,4.0,4.0,0.0,Fidelidad_Juridica
19,3.6666666666666665,3.3333333333333335,0.33333333333333304,Fidelidad_Juridica
20,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
21,4.333333333333333,3.6666666666666665,0.6666666666666665,Fidelidad_Juridica
24,5.0,4.666666666666667,0.33333333333333304,Fidelidad_Juridica
26,4.0,4.0,0.0,Fidelidad_Juridica
27,4.0,3.6666666666666665,0.3333333333333335,Fidelidad_Juridica
28,5.0,4.666666666666667,0.33333333333333304,Fidelidad_Juridica
29,4.0,4.0,0.0,Fidelidad_Juridica
30,4.333333333333333,3.0,1.333333333333333,Fidelidad_Juridica
31,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
32,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
33,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
34,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
36,4.0,3.0,1.0,Fidelidad_Juridica
39,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
42,4.0,3.0,1.0,Fidelidad_Juridica
43,4.0,3.0,1.0,Fidelidad_Juridica
44,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
45,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
46,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
49,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
50,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
51,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
56,3.3333333333333335,3.0,0.3333333333333335,Fidelidad_Juridica
57,5.0,5.0,0.0,Fidelidad_Juridica
58,5.0,5.0,0.0,Fidelidad_Juridica
59,5.0,5.0,0.0,Fidelidad_Juridica
60,4.0,4.0,0.0,Fidelidad_Juridica
63,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
64,4.0,4.0,0.0,Fidelidad_Juridica
65,5.0,5.0,0.0,Fidelidad_Juridica
72,4.0,4.0,0.0,Fidelidad_Juridica
74,4.0,4.0,0.0,Fidelidad_Juridica
75,3.3333333333333335,3.0,0.3333333333333335,Fidelidad_Juridica
82,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
84,3.3333333333333335,3.0,0.3333333333333335,Fidelidad_Juridica
86,5.0,5.0,0.0,Fidelidad_Juridica
87,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
88,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
89,3.3333333333333335,3.0,0.3333333333333335,Fidelidad_Juridica
91,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
94,3.3333333333333335,3.0,0.3333333333333335,Fidelidad_Juridica
97,4.0,4.0,0.0,Fidelidad_Juridica
98,5.0,5.0,0.0,Fidelidad_Juridica
108,4.0,4.0,0.0,Fidelidad_Juridica
110,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
111,4.0,4.0,0.0,Fidelidad_Juridica
116,5.0,5.0,0.0,Fidelidad_Juridica
117,4.0,4.0,0.0,Fidelidad_Juridica
120,4.333333333333333,4.0,0.33333333333333304,Fidelidad_Juridica
1,4.666666666666667,2.6666666666666665,2.0000000000000004,Complejidad
3,4.0,3.0,1.0,Complejidad
5,3.0,3.0,0.0,Complejidad
6,4.0,3.3333333333333335,0.6666666666666665,Complejidad
7,2.6666666666666665,2.0,0.6666666666666665,Complejidad
8,3.0,2.0,1.0,Complejidad
9,2.3333333333333335,1.6666666666666667,0.6666666666666667,Complejidad
12,3.0,3.0,0.0,Complejidad
14,3.0,2.0,1.0,Complejidad
15,4.0,3.0,1.0,Complejidad
17,3.3333333333333335,3.0,0.3333333333333335,Complejidad
19,4.0,3.0,1.0,Complejidad
20,4.0,3.0,1.0,Complejidad
21,4.666666666666667,3.0,1.666666666666667,Complejidad
24,2.3333333333333335,2.0,0.3333333333333335,Complejidad
26,4.0,4.0,0.0,Complejidad
27,3.3333333333333335,3.0,0.3333333333333335,Complejidad
28,3.3333333333333335,3.0,0.3333333333333335,Complejidad
29,2.3333333333333335,2.0,0.3333333333333335,Complejidad
30,4.0,3.0,1.0,Complejidad
31,3.0,2.0,1.0,Complejidad
32,4.0,3.0,1.0,Complejidad
33,3.3333333333333335,3.0,0.3333333333333335,Complejidad
34,3.3333333333333335,3.0,0.3333333333333335,Complejidad
36,3.0,1.0,2.0,Complejidad
39,3.3333333333333335,3.0,0.3333333333333335,Complejidad
42,4.0,2.0,2.0,Complejidad
43,3.3333333333333335,3.0,0.3333333333333335,Complejidad
44,3.0,2.0,1.0,Complejidad
45,4.0,3.0,1.0,Complejidad
46,3.0,3.0,0.0,Complejidad
49,3.3333333333333335,3.0,0.3333333333333335,Complejidad
50,4.0,4.0,0.0,Complejidad
51,4.0,3.0,1.0,Complejidad
56,3.0,3.0,0.0,Complejidad
57,3.3333333333333335,2.0,1.3333333333333335,Complejidad
58,4.0,4.0,0.0,Complejidad
59,3.3333333333333335,3.0,0.3333333333333335,Complejidad
60,3.3333333333333335,3.0,0.3333333333333335,Complejidad
63,3.0,2.0,1.0,Complejidad
64,3.0,2.0,1.0,Complejidad
65,3.3333333333333335,2.0,1.3333333333333335,Complejidad
72,3.0,2.0,1.0,Complejidad
74,3.0,2.0,1.0,Complejidad
75,4.0,1.0,3.0,Complejidad
82,3.3333333333333335,2.0,1.3333333333333335,Complejidad
84,3.0,2.0,1.0,Complejidad
86,3.3333333333333335,2.0,1.3333333333333335,Complejidad
87,4.0,4.0,0.0,Complejidad
88,4.0,3.0,1.0,Complejidad
89,2.3333333333333335,2.0,0.3333333333333335,Complejidad
91,4.0,3.0,1.0,Complejidad
94,3.0,2.0,1.0,Complejidad
97,3.3333333333333335,3.0,0.3333333333333335,Complejidad
98,3.3333333333333335,2.0,1.3333333333333335,Complejidad
108,3.3333333333333335,3.0,0.3333333333333335,Complejidad
110,4.0,3.0,1.0,Complejidad
111,3.0,2.0,1.0,Complejidad
116,3.3333333333333335,3.0,0.3333333333333335,Complejidad
117,3.3333333333333335,3.0,0.3333333333333335,Complejidad
120,4.333333333333333,4.0,0.33333333333333304,Complejidad
